StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Human1a,Human1b,Human2a,Human2b,Human3a,Human3b,Human4a,Human4b,Human5a,Human5b,Human6a,Human6b,Human7a,Human7b,Human8a,Human8b,Human9a,Human9b,Robot1a,Robot1b,Robot2a,Robot2b,Robot3a,Robot3b,Robot4a,Robot4b,Robot5a,Robot5b,Robot6a,Robot6b,Robot7a,Robot7b,Robot8a,Robot8b,Robot9a,Robot9b,Gender,Gender_DO,BirthYear,Country,WorkInHealtCare,WorkingWithRobots,Occupation,Occupation_6_TEXT,Comments,MTurkCode,Q58 - Topics,FL_26_DO,FL_30_DO,FL_31_DO,Human1_DO,Human2_DO,Human3_DO,Human4_DO,Human5_DO,Human6_DO,Human7_DO,Human8_DO,Human9_DO,Robot1_DO,Robot2_DO,Robot3_DO,Robot4_DO,Robot5_DO,Robot6_DO,Robot7_DO,Robot8_DO,Robot9_DO
2016-06-17 11:02:33,2016-06-17 11:05:05,IP Address,149.201.207.29,8,151,False,2016-06-24 11:05:13,R_2dBnkOF4B3a4G3O,,,,,,,anonymous,EN,,,I somewhat agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human2|Human3|Human8|Human4|Human9|Human6|Human7|Human5|Human1,,,Human2a,Human3a,,,,,,,,,,,,,,,
2016-06-24 18:29:50,2016-06-24 18:43:08,IP Address,181.142.230.21,100,798,True,2016-06-24 18:43:09,R_1GHcvkT4KNI0F0V,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,I agree,I somewhat agree,,,I strongly agree,I strongly disagree,,,I strongly disagree,I disagree,,I strongly disagree,,I somewhat agree,,,I disagree,,,,,,,,,,,,,,,,,,,Female,Male|Female,1997,"Colombia ",No,Yes,Student,,None.,,,Intro_Human,Human1|Human3|Human9|Human5|Human6|Human4|Human7|Human8|Human2,,Human1b,Human2a,Human3b,Human4a,Human5b,Human6a,Human7a,Human8a,Human9b,,,,,,,,,
2016-06-17 21:29:16,2016-06-17 21:29:43,IP Address,172.56.5.43,42,26,False,2016-06-24 21:30:23,R_2zuL4MjNmqjkRJb,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot9|Robot2|Robot6|Robot3|Robot4|Robot8|Robot7|Robot1|Robot5,,,,,,,,,,,,,,,,,,Robot9b
2016-06-25 14:24:28,2016-06-25 14:56:05,IP Address,2.240.130.97,100,1896,True,2016-06-25 14:56:05,R_31SrmKFXoVEO5Qy,,,,,53.550003051758,10,anonymous,EN,I agree,,,I agree,I agree,,I neither agree nor disagree,,,I neither agree nor disagree,,I agree,I strongly disagree,,I agree,,,I neither agree nor disagree,,,,,,,,,,,,,,,,,,,Female,Male|Female,1926,"Germany ",Yes,No,Retired,,,,,Intro_Human,Human7|Human8|Human4|Human2|Human9|Human5|Human1|Human3|Human6,,Human1a,Human2b,Human3a,Human4a,Human5b,Human6b,Human7a,Human8a,Human9b,,,,,,,,,
2016-06-25 22:03:58,2016-06-25 22:37:12,IP Address,95.90.254.42,100,1993,True,2016-06-25 22:37:12,R_1DORcq21IRXUi1P,,,,,54.158294677734,12.016693115234,anonymous,EN,,,,,,,,,,,,,,,,,,,I somewhat agree,,,I disagree,,I disagree,,I strongly agree,,I agree,,I disagree,,I strongly agree,I strongly disagree,,I neither agree nor disagree,,Male,Female|Male,1964,"Germany ",Yes,No,Employee,,,,,IntroRobot,,Robot8|Robot2|Robot6|Robot5|Robot7|Robot3|Robot4|Robot1|Robot9,,,,,,,,,,Robot1a,Robot2b,Robot3b,Robot4b,Robot5b,Robot6b,Robot7b,Robot8a,Robot9a
2016-06-26 13:36:10,2016-06-26 13:41:45,IP Address,190.27.183.233,100,335,True,2016-06-26 13:41:45,R_2rjYMiyP5EteAtt,,,,,4.6492004394531,-74.062797546387,anonymous,EN,,I agree,I agree,,,I disagree,,I agree,I disagree,,,I agree,I disagree,,I disagree,,,I agree,,,,,,,,,,,,,,,,,,,Male,Male|Female,1972,"Colombia ",No,No,Employee,,,,,Intro_Human,Human3|Human8|Human2|Human9|Human4|Human6|Human1|Human5|Human7,,Human1b,Human2a,Human3b,Human4b,Human5a,Human6b,Human7a,Human8a,Human9b,,,,,,,,,
2016-06-20 07:00:15,2016-06-20 07:00:15,IP Address,69.63.188.122,2,0,False,2016-06-27 07:00:16,R_eLJxOJTJiF6sQOF,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-20 07:00:15,2016-06-20 07:00:33,IP Address,181.61.169.28,4,18,False,2016-06-27 07:01:13,R_3LZ9akaiZoVkloJ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human7|Human5|Human2|Human4|Human9|Human3|Human6|Human1|Human8,,,,,,,,Human7b,,,,,,,,,,,
2016-06-20 12:24:09,2016-06-20 12:24:09,IP Address,199.16.156.126,2,0,False,2016-06-27 12:24:11,R_2glSr3FRpBi99CB,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-27 13:05:20,2016-06-27 13:17:17,IP Address,136.172.120.22,100,716,True,2016-06-27 13:17:18,R_2Sf82GsX4ptdIo7,,,,,53.550003051758,10,anonymous,EN,,,,,,,,,,,,,,,,,,,,I somewhat disagree,I agree,,,I disagree,,I somewhat agree,I strongly agree,,,I somewhat agree,I disagree,,I disagree,,,I agree,Male,Male|Female,1966,"Germany ",No,No,Employee,,,,,IntroRobot,,Robot6|Robot7|Robot4|Robot5|Robot9|Robot2|Robot8|Robot3|Robot1,,,,,,,,,,Robot1b,Robot2a,Robot3b,Robot4b,Robot5a,Robot6b,Robot7a,Robot8a,Robot9b
2016-06-20 14:18:39,2016-06-20 14:18:48,IP Address,217.191.255.14,42,9,False,2016-06-27 14:18:49,R_3DfwxswfvGyJaDz,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot2|Robot1|Robot3|Robot8|Robot5|Robot4|Robot7|Robot9|Robot6,,,,,,,,,,Robot1b,Robot2a,Robot3b,Robot4b,Robot5a,Robot6a,Robot7b,Robot8a,Robot9a
2016-06-22 16:34:38,2016-06-28 07:09:57,IP Address,136.172.204.75,100,484519,True,2016-06-28 07:09:57,R_d53yxk1wfmsscux,,,,,53.550003051758,10,anonymous,,,,,,,,,,,,,,,,,,,,I somewhat disagree,,I somewhat agree,,,I somewhat disagree,,I agree,,I disagree,I somewhat disagree,,I disagree,,,I agree,I somewhat agree,,Female,Male|Female,1981,"Germany ",No,No,Employee,,,,,IntroRobot,,Robot3|Robot8|Robot5|Robot7|Robot9|Robot2|Robot4|Robot1|Robot6,,,,,,,,,,Robot1a,Robot2a,Robot3b,Robot4b,Robot5b,Robot6a,Robot7a,Robot8b,Robot9a
2016-06-21 21:55:17,2016-06-21 21:55:17,IP Address,199.16.156.126,2,0,False,2016-06-28 21:55:20,R_8BNoe2cM1WMAXDT,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:55:19,2016-06-21 21:55:19,IP Address,216.46.190.189,2,0,False,2016-06-28 21:55:20,R_8rjEXeIA0BxuF9z,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:55:17,2016-06-21 21:55:18,IP Address,199.59.148.209,2,1,False,2016-06-28 21:55:20,R_bg5nAL9yhGl08ND,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:55:19,2016-06-21 21:55:19,IP Address,216.46.190.188,2,0,False,2016-06-28 21:55:21,R_d1jQBjSpXUCe9h3,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:55:59,2016-06-21 21:55:59,IP Address,78.46.34.151,2,0,False,2016-06-28 21:56:02,R_eQGFabzjVr9j3W5,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:56:04,2016-06-21 21:56:04,IP Address,136.243.150.138,2,0,False,2016-06-28 21:56:05,R_9KUjIdZwlRQ8GtD,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:56:03,2016-06-21 21:56:03,Spam,136.243.150.138,2,0,False,2016-06-28 21:56:05,R_eeWHQXuKZrpqUoB,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:57:29,2016-06-21 21:57:29,IP Address,74.6.254.100,2,0,False,2016-06-28 21:57:32,R_a9MXO7t4vhyHeMR,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:58:56,2016-06-21 21:58:56,IP Address,37.187.162.193,2,0,False,2016-06-28 21:58:59,R_b2RuF0VQURyB0xv,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-21 21:59:19,2016-06-21 21:59:19,Spam,74.6.254.100,2,0,False,2016-06-28 21:59:20,R_etT73IXVTJ3DCCh,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-21 22:02:24,2016-06-21 22:02:24,IP Address,52.90.159.125,2,0,False,2016-06-28 22:02:26,R_8qA7P7W6bw3TZKB,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-21 22:24:52,2016-06-21 22:24:52,IP Address,62.210.181.15,2,0,False,2016-06-28 22:24:54,R_3VmX4o29I8DUlJb,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-21 23:12:27,2016-06-21 23:12:27,IP Address,74.6.254.100,2,0,False,2016-06-28 23:12:31,R_3vX7QNaaDdRKm4B,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-17 19:19:09,2016-06-22 02:35:16,IP Address,191.151.123.157,2,371767,False,2016-06-29 02:35:19,R_ahlaXGHmAydc6K9,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-22 12:49:08,2016-06-22 12:49:08,IP Address,54.83.24.42,2,0,False,2016-06-29 12:49:11,R_1BWHHD1VVoJAqj3,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,,,,,,,,,,,,,,,,,,,,
2016-06-22 12:49:08,2016-06-22 12:49:08,Spam,54.83.24.42,2,0,False,2016-06-29 12:49:11,R_bpCwkW1bNWZCmJn,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-22 13:35:27,2016-06-22 13:42:09,IP Address,46.59.167.141,46,401,False,2016-06-29 13:42:46,R_1IXgZZIzVNJskoI,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,I disagree,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot5|Robot8|Robot1|Robot3|Robot4|Robot7|Robot2|Robot9|Robot6,,,,,,,,,,,,,,Robot5a,,,Robot8a,
2016-06-22 14:50:15,2016-06-22 14:50:35,IP Address,136.172.75.138,4,19,False,2016-06-29 14:51:30,R_Oq8CIoYrNrjLrwd,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human8|Human2|Human7|Human3|Human4|Human9|Human1|Human5|Human6,,,,,,,,,Human8a,,,,,,,,,,
2016-06-22 15:52:13,2016-06-22 15:53:16,IP Address,87.157.146.16,42,63,False,2016-06-29 15:54:05,R_27Bxm7aDxZBLwgV,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot5|Robot9|Robot2|Robot3|Robot1|Robot4|Robot7|Robot6|Robot8,,,,,,,,,,,,,,Robot5a,,,,
2016-06-22 16:31:20,2016-06-22 16:31:20,IP Address,104.45.18.178,2,0,False,2016-06-29 16:31:24,R_cTFL9mhuNVw0Yi9,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-22 16:41:29,2016-06-22 17:21:40,IP Address,87.157.146.16,4,2411,False,2016-06-29 17:21:50,R_3nw7bwuK1CqV17o,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human7|Human2|Human6|Human9|Human4|Human1|Human5|Human8|Human3,,,,,,,,Human7a,,,,,,,,,,,
2016-06-23 09:54:04,2016-06-23 16:51:50,IP Address,136.172.120.137,12,25066,False,2016-06-30 16:52:20,R_2rOQAK48bAHSiwE,,,,,,,anonymous,EN,,,,,,,I somewhat disagree,,,,,,,,,,I neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human4|Human9|Human6|Human3|Human1|Human7|Human5|Human8|Human2,,,,,Human4a,,Human6b,,,Human9a,,,,,,,,,
2016-06-23 19:17:01,2016-06-23 19:17:15,IP Address,190.147.106.45,42,13,False,2016-06-30 19:17:53,R_3D7y0gWlPB90bYN,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot2|Robot8|Robot7|Robot5|Robot1|Robot6|Robot9|Robot3|Robot4,,,,,,,,,,,Robot2a,,,,,,,
2016-06-23 19:25:53,2016-06-23 19:26:08,IP Address,37.24.161.140,42,14,False,2016-06-30 19:26:47,R_3IYTtWdZGjx3xwx,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot9|Robot8|Robot3|Robot2|Robot6|Robot7|Robot5|Robot4|Robot1,,,,,,,,,,,,,,,,,,Robot9a
2016-06-23 19:33:20,2016-06-23 19:34:39,IP Address,201.217.219.74,4,78,False,2016-06-30 19:34:53,R_4IOWAVUs0WkPpPH,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human9|Human7|Human3|Human1|Human4|Human6|Human5|Human8|Human2,,,,,,,,,,Human9b,,,,,,,,,
2016-06-23 19:39:42,2016-06-23 19:40:02,IP Address,71.58.27.222,4,19,False,2016-06-30 19:40:11,R_1rAYWO6RYbevMia,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human3|Human7|Human9|Human4|Human1|Human6|Human2|Human5|Human8,,,,Human3b,,,,,,,,,,,,,,,
2016-06-23 19:47:33,2016-06-23 19:50:26,IP Address,186.31.157.119,4,173,False,2016-06-30 19:50:27,R_1FdNDEWuthX9p2d,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human3|Human1|Human6|Human2|Human4|Human9|Human8|Human7|Human5,,Human1b,Human2b,Human3b,Human4b,Human5a,Human6a,Human7b,Human8a,Human9a,,,,,,,,,
2016-06-23 19:50:23,2016-06-23 19:50:37,IP Address,201.233.159.100,4,14,False,2016-06-30 19:50:44,R_1GQ4pw1Ds48tfVx,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human6|Human5|Human1|Human8|Human9|Human4|Human2|Human3|Human7,,,,,,,Human6a,,,,,,,,,,,,
2016-06-23 20:25:38,2016-06-23 20:25:38,IP Address,190.242.83.125,2,0,False,2016-06-30 20:25:44,R_ePwZka7NGUxb7Q9,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
2016-06-23 20:50:24,2016-06-23 20:50:35,IP Address,181.63.255.6,4,11,False,2016-06-30 20:50:36,R_0Tl1uvb5utKrcR7,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human3|Human5|Human7|Human6|Human1|Human8|Human4|Human2|Human9,,Human1b,Human2a,Human3a,Human4a,Human5a,Human6a,Human7a,Human8a,Human9a,,,,,,,,,
2016-06-23 20:51:04,2016-06-23 20:51:13,IP Address,186.82.230.32,42,9,False,2016-06-30 20:51:57,R_1HdGaKbrpEUjz17,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot4|Robot5|Robot7|Robot8|Robot9|Robot1|Robot2|Robot6|Robot3,,,,,,,,,,,,,Robot4b,,,,,
2016-06-30 20:32:18,2016-06-30 20:54:54,IP Address,46.59.162.215,100,1355,True,2016-06-30 20:54:55,R_SOwkQ0eINno5wtj,,,,,53.568496704102,10.058898925781,anonymous,EN,I agree,,,I disagree,I somewhat agree,,I somewhat disagree,,,I somewhat disagree,,I somewhat agree,,I strongly agree,I neither agree nor disagree,,,I somewhat agree,,,,,,,,,,,,,,,,,,,Male,Male|Female,1982,"Germany ",No,No,Student,,,,,Intro_Human,Human4|Human6|Human7|Human1|Human3|Human5|Human9|Human2|Human8,,Human1a,Human2b,Human3a,Human4a,Human5b,Human6b,Human7b,Human8a,Human9b,,,,,,,,,
2016-06-23 20:23:57,2016-06-23 20:57:27,IP Address,172.58.155.175,58,2010,False,2016-06-30 20:57:30,R_2P6Vr93lZf28KMe,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,I disagree,,,,,,I disagree,I disagree,,,,,,,I disagree,,,,,,,,,,,,,,IntroRobot,,Robot1|Robot4|Robot5|Robot8|Robot6|Robot9|Robot7|Robot2|Robot3,,,,,,,,,,Robot1b,,,Robot4b,Robot5a,Robot6b,,Robot8b,
2016-06-23 21:20:13,2016-06-23 21:22:06,IP Address,200.41.7.36,54,113,False,2016-06-30 21:22:21,R_3JtuTo7xYgvR7zY,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,I strongly agree,I agree,,,I neither agree nor disagree,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot2|Robot3|Robot1|Robot7|Robot4|Robot5|Robot6|Robot9|Robot8,,,,,,,,,,Robot1b,Robot2a,Robot3b,,,,Robot7b,,
2016-06-23 21:20:20,2016-06-23 21:24:08,IP Address,181.63.0.108,8,227,False,2016-06-30 21:24:41,R_2sTlni5cBhDQ0vn,,,,,,,anonymous,EN,,,,,,,,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human4|Human9|Human5|Human8|Human7|Human6|Human1|Human2|Human3,,,,,Human4b,,,,,Human9a,,,,,,,,,
2016-06-23 19:05:27,2016-06-23 21:34:00,IP Address,190.159.244.235,50,8913,False,2016-06-30 21:34:06,R_9uZGBgMD1iVq5Jn,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,I somewhat agree,,,,,I somewhat disagree,,,,,,,,,,,,,,,,IntroRobot,,Robot7|Robot5|Robot4|Robot3|Robot9|Robot8|Robot1|Robot6|Robot2,,,,,,,,,,,,,Robot4a,Robot5a,,Robot7b,,
2016-06-23 22:34:31,2016-06-23 22:34:31,IP Address,213.37.55.48,4,1466714071,False,2016-06-30 22:34:35,R_e2QwRpfsz4npscR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human1|Human2|Human6|Human7|Human3|Human9|Human4|Human5|Human8,,Human1b,Human2a,Human3b,Human4b,Human5a,Human6b,Human7a,Human8a,Human9b,,,,,,,,,
2016-06-23 22:34:14,2016-06-23 22:34:46,IP Address,93.204.2.68,46,32,False,2016-06-30 22:35:21,R_6FQvp83AcDhmylP,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,I agree,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot4|Robot9|Robot1|Robot6|Robot7|Robot8|Robot2|Robot3|Robot5,,,,,,,,,,,,,Robot4b,,,,,Robot9a
2016-06-23 22:42:27,2016-06-23 22:43:13,IP Address,93.206.71.5,4,46,False,2016-06-30 22:43:46,R_2ATOvFiG8r1BEst,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human6|Human1|Human9|Human5|Human3|Human2|Human4|Human7|Human8,,,,,,,Human6a,,,,,,,,,,,,
2016-06-23 22:47:34,2016-06-23 22:47:51,IP Address,181.251.152.237,42,17,False,2016-06-30 22:48:18,R_2uqh60yvoQ3oC9h,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot7|Robot9|Robot5|Robot6|Robot4|Robot3|Robot8|Robot2|Robot1,,,,,,,,,,,,,,,,Robot7a,,
2016-06-24 00:46:01,2016-06-24 00:46:44,IP Address,191.95.253.169,42,43,False,2016-07-01 00:46:45,R_3oS1o822xDQo1KT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot4|Robot1|Robot9|Robot8|Robot2|Robot6|Robot7|Robot3|Robot5,,,,,,,,,,,,,Robot4b,,,,,
2016-06-24 01:25:20,2016-06-24 01:25:28,IP Address,181.61.70.8,4,7,False,2016-07-01 01:26:18,R_pbe8NUknaf6To0F,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human7|Human8|Human6|Human9|Human2|Human3|Human4|Human5|Human1,,,,,,,,Human7a,,,,,,,,,,,
2016-06-24 01:34:26,2016-06-24 01:40:39,IP Address,152.201.12.31,75,373,False,2016-07-01 01:40:52,R_ULPEr4tU07Wopc5,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,I disagree,I strongly agree,,,I agree,I strongly agree,,I strongly agree,,,I agree,,I disagree,I strongly disagree,,,,,,,,,,,,,,,IntroRobot,,Robot5|Robot3|Robot6|Robot2|Robot8|Robot4|Robot1|Robot7|Robot9,,,,,,,,,,Robot1b,Robot2a,Robot3b,Robot4a,Robot5a,Robot6b,Robot7b,Robot8a,Robot9b
2016-06-24 01:54:06,2016-06-24 01:54:24,IP Address,100.12.182.195,4,18,False,2016-07-01 01:54:27,R_8v4w8QomwPAV90l,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human6|Human2|Human3|Human4|Human9|Human8|Human1|Human5|Human7,,,,,,,Human6b,,,,,,,,,,,,
2016-06-24 02:03:43,2016-06-24 02:03:59,IP Address,186.155.111.5,42,15,False,2016-07-01 02:04:10,R_ZIbm4D7PLPyFKoh,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot1|Robot7|Robot2|Robot3|Robot9|Robot8|Robot5|Robot6|Robot4,,,,,,,,,,Robot1a,,,,,,,,
2016-06-24 01:36:12,2016-06-24 02:04:03,IP Address,208.54.80.254,25,1670,False,2016-07-01 02:04:29,R_BKtH3c5DV2rFlcJ,,,,,,,anonymous,EN,,I agree,,I strongly disagree,I somewhat agree,,,,,,,I agree,,,,,,I agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human6|Human2|Human1|Human9|Human3|Human7|Human5|Human8|Human4,,Human1b,Human2b,Human3a,,,Human6b,Human7a,,Human9b,,,,,,,,,
2016-06-24 02:16:18,2016-06-24 02:17:06,IP Address,152.201.66.104,42,48,False,2016-07-01 02:17:48,R_R1SEIncyGDekrkJ,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot6|Robot8|Robot2|Robot9|Robot7|Robot3|Robot4|Robot1|Robot5,,,,,,,,,,,,,,,Robot6b,,,
2016-06-24 04:06:24,2016-06-24 04:07:23,IP Address,181.51.196.55,8,58,False,2016-07-01 04:07:49,R_AEvMeV0u5u4yim5,,,,,,,anonymous,EN,I somewhat disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Intro_Human,Human1|Human8|Human7|Human4|Human2|Human9|Human5|Human3|Human6,,Human1a,,,,,,,Human8a,,,,,,,,,,
2016-06-24 05:26:52,2016-06-24 05:27:03,IP Address,191.69.146.170,42,10,False,2016-07-01 05:27:39,R_YYw9n9ywpyt96zT,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot9|Robot2|Robot4|Robot8|Robot5|Robot1|Robot3|Robot6|Robot7,,,,,,,,,,,,,,,,,,Robot9b
2016-06-24 06:15:42,2016-06-24 06:15:59,IP Address,181.53.146.79,42,16,False,2016-07-01 06:16:31,R_2e4r0D9VR4q9pUL,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,Robot6|Robot1|Robot5|Robot3|Robot7|Robot9|Robot8|Robot4|Robot2,,,,,,,,,,,,,,,Robot6a,,,
2016-06-24 07:14:58,2016-06-24 07:14:58,IP Address,69.63.188.115,2,0,False,2016-07-01 07:15:04,R_54hnAGCw2SP1plj,,,,,,,anonymous,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IntroRobot,,,,,,,,,,,,,,,,,,,,
