StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q20_First Click,Q20_Last Click,Q20_Page Submit,Q20_Click Count,Q3#1_1,Q3#1_2,Q3#1_3,Q3#1_4,Q3#1_5,Q3#1_6,Q3#2_1,Q3#2_2,Q3#2_3,Q3#2_4,Q3#2_5,Q3#2_6,Q16#1_1,Q16#1_2,Q16#1_3,Q16#1_4,Q16#1_5,Q16#1_6,Q16#2_1,Q16#2_2,Q16#2_3,Q16#2_4,Q16#2_5,Q16#2_6,Q21_First Click,Q21_Last Click,Q21_Page Submit,Q21_Click Count,Q14#1_1,Q14#1_2,Q14#1_3,Q14#1_4,Q14#1_5,Q14#1_6,Q14#2_1,Q14#2_2,Q14#2_3,Q14#2_4,Q14#2_5,Q14#2_6,Q17#1_1,Q17#1_2,Q17#1_3,Q17#1_4,Q17#1_5,Q17#1_6,Q17#2_1,Q17#2_2,Q17#2_3,Q17#2_4,Q17#2_5,Q17#2_6,Q6,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_6_TEXT,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_6_TEXT,Q18,disease,unique_code,Create New Field or Choose From Dropdown...
2021-12-03 21:27:24,2021-12-03 21:28:25,IP Address,75.81.229.129,100,60,True,2021-12-03 21:28:25,R_1H75RHREZXjaWky,,,,,39.07879638671875,-84.70240020751953125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,27.647,29.916,39,Permissible,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Not Permissible,Permissible,Permissible,Not Permissible,Not Permissible,Permissible,,,Permissible,Not permissible,,Permissible,,,Permissible,Not Permissible,,2003,,Female,,,,,,White,,,,,,,n/a,mild anxiety,276401,
2021-12-03 21:38:50,2021-12-03 21:41:08,IP Address,24.208.218.20,100,137,True,2021-12-03 21:41:08,R_3lzdRVGxjYLIl1z,,,,,40.2458953857421875,-83.36029815673828125,anonymous,EN,37.393,85.556,86.866,15,Unsure,Permissible,Permissible,Permissible,Not permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Permissible,,Permissible,,Permissible,Not permissible,,,Permissible,,Permissible,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,White,,,,,,,,migraine,183188,
2021-12-03 21:39:48,2021-12-03 21:42:41,IP Address,173.88.151.185,100,172,True,2021-12-03 21:42:41,R_3nVORAANxyR82Uw,,,,,41.0980072021484375,-81.6421966552734375,anonymous,EN,24.001,94.293,95.16,17,Permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Unsure,Permissible,,,Permissible,,Permissible,Permissible,,,Unsure,,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,Female,,,,,,White,,,,,,,,mild anxiety,799823,
2021-12-03 21:43:43,2021-12-03 21:45:40,IP Address,129.137.96.20,100,116,True,2021-12-03 21:45:40,R_2VvDpG9Hr8ViW7Q,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.498,68.023,69.424,13,Unsure,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Unsure,,,Permissible,,Not permissible,Permissible,,,Permissible,,Not Permissible,Unsure,2003,,Female,,,,,,White,,,,,,,The robot picture was very cute.,acute schizophrenia,167090,
2021-12-03 21:58:23,2021-12-03 22:00:25,IP Address,65.28.255.251,100,122,True,2021-12-03 22:00:25,R_3D131fAjARqP3In,,,,,39.141693115234375,-84.5171966552734375,anonymous,EN,47.237,74.519,76,12,Permissible,Permissible,Permissible,Permissible,Not permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,,Permissible,Permissible,,Not permissible,,,Permissible,Permissible,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Male,,,,,,,White,,,,,,,,acute schizophrenia,943049,
2021-12-04 09:33:35,2021-12-04 09:35:26,IP Address,184.54.83.11,100,110,True,2021-12-04 09:35:26,R_x6jt7yxx6MSFwfT,,,,,39.124603271484375,-84.48670196533203125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.926,62.518,65.777,16,Unsure,Permissible,Permissible,Permissible,Not permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Permissible,Unsure,Permissible,,,,Permissible,Unsure,Permissible,,,,Permissible,2001,,Female,,,,,,,Black or African American,,,,,,,mild anxiety,376209,
2021-12-04 10:24:31,2021-12-04 10:26:20,IP Address,74.133.142.218,100,108,True,2021-12-04 10:26:20,R_3NVRlJoKeGdCF6u,,,,,39.07049560546875,-84.51599884033203125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.797,71.496,72.331,18,Unsure,Permissible,Permissible,Permissible,Not permissible,Unsure,Unsure,Unsure,Permissible,Permissible,Not Permissible,Unsure,Unsure,,Permissible,,Not permissible,,Unsure,,Permissible,,Not Permissible,,2001,,Female,,,,,,White,,,,,,,,mild anxiety,451435,
2021-12-04 12:19:34,2021-12-04 12:20:16,IP Address,208.102.163.73,100,42,True,2021-12-04 12:20:16,R_3p52aXvNQuCeu5z,,,,,39.141693115234375,-84.5171966552734375,anonymous,EN,2.467,11.054,11.569,12,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Permissible,Not permissible,,,Not permissible,,Unsure,Permissible,,,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,,,,Asian,,,,,acute schizophrenia,355044,
2021-12-04 12:21:09,2021-12-04 12:21:53,IP Address,208.102.163.73,100,44,True,2021-12-04 12:21:54,R_1o55UHAUXHMmMkV,,,,,39.141693115234375,-84.5171966552734375,anonymous,EN,2.314,23.502,24.487,16,Permissible,Unsure,Not permissible,Not permissible,Not permissible,Permissible,Permissible,Permissible,Permissible,Unsure,Not Permissible,Permissible,Not permissible,Unsure,,,,Permissible,Not Permissible,Permissible,,,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,,,,Asian,,,,,mild anxiety,742672,
2021-12-04 12:20:49,2021-12-04 12:21:56,IP Address,72.49.3.41,100,66,True,2021-12-04 12:21:56,R_2OPWz143KkxPoeg,,,,,39.124603271484375,-84.48670196533203125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.555,11.931,13.234,13,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,Unsure,,,Unsure,Unsure,,Unsure,,,Unsure,Unsure,2002,Male,,,,,,,,,,,,Other,"Israeli, Middle Eastern, Armenian",,migraine,139788,
2021-12-04 12:24:34,2021-12-04 12:25:06,IP Address,72.49.3.41,100,32,True,2021-12-04 12:25:06,R_1LNcoyxbrCRwrN4,,,,,39.124603271484375,-84.48670196533203125,anonymous,EN,0.777,8.125,9.883,14,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,Unsure,Unsure,,,Unsure,,Unsure,Unsure,,,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Male,,,,,,,,,,,,Other,"Israeli, Middle Eastern, Armenian",,acute schizophrenia,200543,
2021-12-04 12:23:42,2021-12-04 12:25:12,IP Address,98.28.242.96,100,90,True,2021-12-04 12:25:13,R_u3bmwl3XDbY3GGl,,,,,39.3433990478515625,-84.40090179443359375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.944,60.821,61.482,12,Permissible,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,,Permissible,,Permissible,,Not permissible,,Permissible,,Permissible,,Not Permissible,2000,Male,,,,,,,White,,,,,,,,mild anxiety,764117,
2021-12-04 16:33:18,2021-12-04 16:35:03,IP Address,72.49.106.49,100,104,True,2021-12-04 16:35:03,R_PNfB4yYG94iFACl,,,,,39.1190948486328125,-84.3489990234375,anonymous,EN,45.465,67.683,68.414,12,Unsure,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,Unsure,Permissible,,,,Not permissible,Not Permissible,Permissible,,,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,White,,,,,,,,migraine,651821,
2021-12-04 17:15:05,2021-12-04 17:16:48,IP Address,71.72.251.1,100,103,True,2021-12-04 17:16:48,R_2XdI5a8GPBCk2sj,,,,,39.241302490234375,-84.545501708984375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.485,59.175,59.934,29,Permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,Permissible,,,Permissible,Permissible,,Permissible,,,Permissible,Permissible,,2003,,Female,,,,,,,Black or African American,,,,,,,mild anxiety,955092,
2021-12-04 17:36:15,2021-12-04 17:38:40,IP Address,50.5.226.250,100,144,True,2021-12-04 17:38:40,R_2rPLu6QBPIrpWa9,,,,,39.141693115234375,-84.5171966552734375,anonymous,EN,35.758,86.604,94.57,13,Permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,,Permissible,,Permissible,,Permissible,,Permissible,,Permissible,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,,Female,,,,,,,Black or African American,,,,,,,acute schizophrenia,476716,
2021-12-04 17:45:30,2021-12-04 17:47:11,IP Address,174.101.134.64,100,100,True,2021-12-04 17:47:11,R_3QY6KsHiFxGhLMn,,,,,39.139007568359375,-84.42960357666015625,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.33,55.314,55.694,14,Unsure,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Unsure,Permissible,Permissible,Not Permissible,Not Permissible,,,Permissible,,Not permissible,Not permissible,,,Permissible,,Not Permissible,Not Permissible,2002,Male,,,,,,,White,,,,,,,,mild anxiety,501757,
2021-12-04 17:54:30,2021-12-04 17:56:30,IP Address,129.137.96.31,100,119,True,2021-12-04 17:56:30,R_3kH6NsmPBESaltd,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,23.724,83.138,83.845,13,Unsure,Permissible,Permissible,Permissible,Not permissible,Not permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,,Permissible,,,Not permissible,Not permissible,,Permissible,,,Not Permissible,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Male,,,,,,,White,,,,,,,,mild anxiety,769934,
2021-12-04 19:07:10,2021-12-04 19:17:22,IP Address,98.28.29.40,100,612,True,2021-12-04 19:17:22,R_3eh7lYiNlw2WH8w,,,,,39.923004150390625,-82.86640167236328125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.005,62.806,63.747,15,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,Not permissible,Permissible,Permissible,,,,Not Permissible,Permissible,Permissible,,,,2003,,Female,,,,,,,Black or African American,,,,,,,migraine,361227,
2021-12-04 19:18:30,2021-12-04 19:22:37,IP Address,52.124.36.227,100,246,True,2021-12-04 19:22:37,R_79ENp3dZyUPriV3,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.08,55.373,56.337,16,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,,,Permissible,,Not permissible,Permissible,,,Permissible,,Not Permissible,Permissible,2003,,Female,,,,,,,Black or African American,,,,,,"This is extremely complicated to think about (even as a fake scenario) because I want to do the best for the patient (with the medicine) but I also want to always treat any patient (regardless of illness) like a well-treated human being. ",acute schizophrenia,584813,
2021-12-04 19:20:37,2021-12-04 19:24:42,IP Address,174.96.118.209,100,245,True,2021-12-04 19:24:42,R_2AXuxFcW8jvRBHv,,,,,40.4835968017578125,-81.43869781494140625,anonymous,EN,42.845,125.842,127.213,15,Not permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Not Permissible,Unsure,Permissible,Permissible,Unsure,Permissible,Not permissible,Permissible,,Permissible,,,Not Permissible,Unsure,,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,White,,,,,,,,mild anxiety,889669,
2021-12-04 19:25:03,2021-12-04 19:27:07,IP Address,184.59.89.89,100,124,True,2021-12-04 19:27:07,R_eJV7tucbh6oHMDn,,,,,39.4346923828125,-84.62079620361328125,anonymous,EN,33.697,74.499,76.713,12,Not permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Permissible,Unsure,Permissible,Permissible,Not Permissible,Unsure,,,Permissible,Permissible,Unsure,,,,Permissible,Permissible,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,,Female,,,,,,White,,,,,,,,acute schizophrenia,216656,
2021-12-04 19:25:40,2021-12-04 19:28:10,IP Address,52.124.36.227,100,149,True,2021-12-04 19:28:11,R_3R1xqxRRKbvyZxf,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.24,55.493,56.267,12,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Permissible,,,Permissible,,Not permissible,Permissible,,,Permissible,,Not Permissible,Permissible,2001,,Female,,,,,,White,,,,,,,,migraine,495199,
2021-12-04 19:37:22,2021-12-04 19:41:13,IP Address,72.49.3.208,100,231,True,2021-12-04 19:41:13,R_PHj2afgeWr8XXUJ,,,,,39.141693115234375,-84.5171966552734375,anonymous,EN,138.297,182.817,184.598,15,Unsure,Permissible,Permissible,Permissible,Not permissible,Unsure,Not Permissible,Permissible,Unsure,Permissible,Not Permissible,Not Permissible,,Permissible,Permissible,Permissible,,,,Unsure,Unsure,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,Male,,,,,,,White,,,,,,,,acute schizophrenia,464277,
2021-12-04 20:00:18,2021-12-04 20:05:26,IP Address,184.54.55.45,100,307,True,2021-12-04 20:05:26,R_2CQyMy2GV3GkKYE,,,,,39.2223968505859375,-84.6511993408203125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.98,249.842,251.244,14,Permissible,Permissible,Permissible,Permissible,Not permissible,Unsure,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Unsure,,Permissible,Permissible,,,Not permissible,,Permissible,Permissible,,,Unsure,2001,Male,,,,,,,White,,,,,,,,mild anxiety,206719,
2021-12-04 20:05:44,2021-12-04 20:47:14,IP Address,184.54.55.45,100,2489,True,2021-12-04 20:47:14,R_1DBlboehhBkg8Xe,,,,,39.2223968505859375,-84.6511993408203125,anonymous,EN,27.282,546.483,1096.644,15,Permissible,Permissible,Permissible,Permissible,Not permissible,Unsure,Not Permissible,Permissible,Permissible,Unsure,Not Permissible,Not Permissible,Permissible,,,Permissible,Not permissible,,Permissible,,,Permissible,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Male,,,,,,,White,,,,,,,,migraine,425359,
2021-12-04 20:50:49,2021-12-04 20:52:07,IP Address,72.49.28.71,100,78,True,2021-12-04 20:52:08,R_1ML43lLYYrRndHv,,,,,39.10589599609375,-84.50469970703125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.463,40.973,42.074,14,Not permissible,Unsure,Not permissible,Unsure,Unsure,Not permissible,Not Permissible,Unsure,Not Permissible,Unsure,Not Permissible,Not Permissible,,Not permissible,,Unsure,Not permissible,,,Not Permissible,,Unsure,Not Permissible,,2001,Male,,,,,,,White,,,,,,,,acute schizophrenia,787837,
2021-12-04 21:03:13,2021-12-04 21:04:40,IP Address,184.54.149.214,100,87,True,2021-12-04 21:04:40,R_Ovu7FAYMfjRXJER,,,,,39.0968017578125,-84.1488037109375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.082,35.977,36.923,15,Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Unsure,Permissible,Permissible,Unsure,Unsure,Unsure,Permissible,Permissible,Permissible,,,,Permissible,Permissible,Permissible,,,,2002,Male,,,,,,,White,,,,,,,,mild anxiety,857068,
2021-12-04 21:06:10,2021-12-04 21:07:31,IP Address,129.137.96.1,100,81,True,2021-12-04 21:07:31,R_3p3hKlui8baSfLO,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,13.25,45.412,46.979,12,Permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,Permissible,Unsure,Permissible,Permissible,,Permissible,Permissible,Permissible,,,,Permissible,Permissible,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,White,,,,,,,,acute schizophrenia,144758,
2021-12-04 21:13:43,2021-12-04 21:14:26,IP Address,72.49.28.71,100,42,True,2021-12-04 21:14:26,R_1DvEr9cgXwePdW0,,,,,39.10589599609375,-84.50469970703125,anonymous,EN,2.622,14.428,15.383,13,Unsure,Not permissible,Permissible,Unsure,Permissible,Not permissible,Unsure,Not Permissible,Permissible,Unsure,Permissible,Not Permissible,,,Permissible,Unsure,,Unsure,,,Permissible,Unsure,,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001,Male,,,,,,,White,,,,,,,,migraine,560718,
2021-12-04 21:27:06,2021-12-04 21:28:06,IP Address,52.124.36.227,100,59,True,2021-12-04 21:28:06,R_2V2aXl6bwYBSzKp,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.927,30.988,31.781,13,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Unsure,,Permissible,,Permissible,Not permissible,,,Permissible,,Permissible,Not Permissible,,2001,,Female,,,,,,White,,,,,,,,mild anxiety,529551,
2021-12-04 22:31:18,2021-12-04 22:32:47,IP Address,74.215.71.20,100,89,True,2021-12-04 22:32:47,R_2s4wHgPrFmmzArf,,,,,39.2487030029296875,-84.345703125,anonymous,EN,31.587,61.192,61.993,14,Unsure,Permissible,Permissible,Permissible,Not permissible,Unsure,Permissible,Permissible,Permissible,Permissible,Not Permissible,Unsure,Unsure,Permissible,,,,Unsure,Permissible,Permissible,,,,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,White,,,,,,,,migraine,105129,
2021-12-04 23:10:08,2021-12-04 23:11:20,IP Address,74.215.34.123,100,72,True,2021-12-04 23:11:21,R_3feN5sX8MQLFRqF,,,,,39.3433990478515625,-84.40090179443359375,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.087,23.48,24.385,14,Permissible,Unsure,Permissible,Unsure,Not permissible,Not permissible,Unsure,Not Permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Permissible,Unsure,,,,Permissible,Not Permissible,Permissible,,,,2003,,Female,,,,,,White,,,,,,,,acute schizophrenia,256495,
2021-12-04 23:16:31,2021-12-04 23:17:13,IP Address,74.215.34.123,100,41,True,2021-12-04 23:17:13,R_DvPDqzEyGqOG8lH,,,,,39.3433990478515625,-84.40090179443359375,anonymous,EN,1.696,15.692,17.555,12,Permissible,Permissible,Permissible,Unsure,Not permissible,Permissible,Permissible,Permissible,Permissible,Not Permissible,Unsure,Permissible,,Not permissible,Permissible,,,Not permissible,,Permissible,Permissible,,,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,White,,,,,,,,mild anxiety,998335,
2021-12-05 07:00:11,2021-12-05 07:02:29,IP Address,74.215.221.11,100,137,True,2021-12-05 07:02:29,R_2xK2ZKF0Oc132Nf,,,,,39.10589599609375,-84.50469970703125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.273,67.057,67.924,12,Not permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Not Permissible,Permissible,Permissible,Unsure,Not Permissible,Permissible,,Permissible,,Permissible,Unsure,,,Permissible,,Unsure,Not Permissible,,2002,Male,,,,,,,White,,,,,,,,migraine,629477,
2021-12-05 10:53:42,2021-12-05 10:54:58,IP Address,129.137.96.16,100,75,True,2021-12-05 10:54:59,R_1JF3A1VQ2VlBZus,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,8.123,24.373,27.317,13,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,Unsure,,Unsure,,Unsure,,Unsure,,Unsure,,Unsure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,,Black or African American,,,,,,,migraine,956685,
2021-12-05 12:25:27,2021-12-05 12:27:15,IP Address,65.28.251.182,100,108,True,2021-12-05 12:27:16,R_1Fzvax1D6uPwnym,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.45,66.726,68.711,14,Permissible,Permissible,Permissible,Permissible,Unsure,Unsure,Permissible,Permissible,Permissible,Permissible,Not Permissible,Not Permissible,Permissible,,Permissible,,,Unsure,Permissible,,Not Permissible,,,Not Permissible,2000,Male,,,,,,,White,,,,,,,,mild anxiety,495632,
2021-12-05 13:07:46,2021-12-05 13:17:46,IP Address,129.137.96.3,100,599,True,2021-12-05 13:17:46,R_2AM42f89SblKtyw,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.375,51.697,53.592,12,Not permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Unsure,Unsure,Not permissible,Permissible,,Permissible,,,Unsure,Permissible,,Permissible,,,2003,Male,,,,,,,,,,Asian,,,,,acute schizophrenia,413928,
2021-12-05 17:45:29,2021-12-05 17:46:29,IP Address,129.137.96.9,100,59,True,2021-12-05 17:46:29,R_1f885ckHFliGGgP,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,2.147,20.927,21.357,14,Permissible,Permissible,Permissible,Permissible,Permissible,Unsure,Not Permissible,Not Permissible,Permissible,Permissible,Unsure,Permissible,Permissible,,,Permissible,,Permissible,Not Permissible,,,Not Permissible,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,Male,,,,,,,White,,,,,,,,migraine,763889,
2021-12-05 17:32:42,2021-12-05 17:46:35,IP Address,129.137.96.3,100,833,True,2021-12-05 17:46:36,R_2TKIfViP4QMTyrv,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627,107.707,108.256,27,Not permissible,Permissible,Permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Permissible,Not permissible,,,Permissible,,Permissible,Permissible,,,Permissible,,Permissible,2002,,Female,,,,,,,Black or African American,,,,,,,acute schizophrenia,357182,
2021-12-05 17:56:38,2021-12-05 17:58:50,IP Address,74.83.84.111,100,132,True,2021-12-05 17:58:50,R_3JkeJPwcqQ9vV1y,,,,,39.10589599609375,-84.50469970703125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.202,79.269,80.09,14,Not permissible,Permissible,Permissible,Permissible,Unsure,Not permissible,Permissible,Not Permissible,Not Permissible,Not Permissible,Not Permissible,Not Permissible,,,,Permissible,Unsure,Not permissible,,,,Not Permissible,Not Permissible,Not Permissible,2000,Male,,,,,,,White,,,,,,,,migraine,238719,
2021-12-05 17:57:05,2021-12-05 17:59:59,IP Address,74.133.128.24,100,174,True,2021-12-05 18:00:00,R_2awQwQvUABvREcV,,,,,39.07049560546875,-84.51599884033203125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.41,66.014,66.901,16,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Permissible,,,,Permissible,Not permissible,Permissible,,,,Permissible,Not Permissible,Permissible,2003,,Female,,,,,,White,,,,,,,,acute schizophrenia,896711,
2021-12-05 17:56:19,2021-12-05 18:01:00,IP Address,129.137.96.3,100,280,True,2021-12-05 18:01:01,R_sGYHyctccRtUXxn,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,2.563,2.563,5.774,1,Not permissible,Permissible,Permissible,Permissible,Not permissible,Unsure,Not Permissible,Permissible,Permissible,Permissible,Not Permissible,Unsure,,,Permissible,,Permissible,Permissible,,,Permissible,,Permissible,Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,White,Black or African American,American Indian or Alaska Native,,,,,,acute schizophrenia,129885,
2021-12-05 19:52:13,2021-12-05 19:54:59,IP Address,129.137.96.21,100,166,True,2021-12-05 19:55:00,R_2bI88YuPHwxlIS5,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,13.998,68.079,69.25,20,Not permissible,Permissible,Permissible,Permissible,Not permissible,Permissible,Unsure,Permissible,Permissible,Permissible,Not Permissible,Unsure,Not permissible,Permissible,,,Not permissible,,Unsure,Permissible,,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2002,,Female,,,,,,,,,,,Other,Latina,,migraine,286172,
2021-12-05 19:52:59,2021-12-05 19:55:27,IP Address,129.137.96.17,100,147,True,2021-12-05 19:55:27,R_2ByvQpdd3Ztnc0K,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.551,93.733,95.488,13,Not permissible,Unsure,Permissible,Permissible,Not permissible,Permissible,Permissible,Unsure,Permissible,Permissible,Not Permissible,Permissible,,,,Permissible,Not permissible,Permissible,,,,Permissible,Not Permissible,Permissible,2003,,Female,,,,,,,Black or African American,,,,,,,acute schizophrenia,773355,
2021-12-05 20:28:17,2021-12-05 20:31:17,IP Address,129.137.96.17,100,179,True,2021-12-05 20:31:17,R_a9lnFV1u20FSefT,,,,,39.1255950927734375,-84.51270294189453125,anonymous,EN,6.711,127.585,128.466,14,Permissible,Permissible,Permissible,Unsure,Not permissible,Not permissible,Not Permissible,Not Permissible,Unsure,Unsure,Not Permissible,Not Permissible,Permissible,Permissible,,,,Not permissible,Not Permissible,Not Permissible,,,,Not Permissible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2003,,Female,,,,,,White,,,,,,,,migraine,787197,
2021-12-05 20:30:29,2021-12-05 20:32:46,IP Address,184.57.227.57,100,137,True,2021-12-05 20:32:47,R_1KrONZ7FAqsKvSM,,,,,39.6320037841796875,-84.263397216796875,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.818,60.597,62.177,12,Permissible,Unsure,Permissible,Permissible,Permissible,Permissible,Unsure,Permissible,Permissible,Unsure,Permissible,Permissible,Permissible,,,Permissible,Permissible,,Unsure,,,Unsure,Permissible,,2002,,Female,,,,,,White,,,,,,,,mild anxiety,431788,
